_id	AnnoS	AteneoCOD	AteneoNOME	ClasseNUMERO	CorsoNOME	SedeC	SedeP	Sesso	Lau
1	2021	6307	Napoli Pegaso - telematica	L-19	Scienze dell'Educazione e della Formazione	NAPOLI	63	F	2340
2	2021	6307	Napoli Pegaso - telematica	L-18	Economia Aziendale	NAPOLI	63	M	2336
3	2020	6307	Napoli Pegaso - telematica	L-18	Economia Aziendale	NAPOLI	63	M	2165
4	2021	6307	Napoli Pegaso - telematica	L-22	Scienze Motorie	NAPOLI	63	M	1967
5	2020	6307	Napoli Pegaso - telematica	L-19	Scienze dell'Educazione e della Formazione	NAPOLI	63	F	1633
6	2021	5815	Roma UNICUSANO - telematica	L-36	Scienze Politiche e Relazioni Internazionali	ROMA	58	M	1549
7	2021	6307	Napoli Pegaso - telematica	LM-85	Scienze Pedagogiche	NAPOLI	63	F	1504
8	2019	6307	Napoli Pegaso - telematica	L-18	Economia Aziendale	NAPOLI	63	M	1438
9	2020	6307	Napoli Pegaso - telematica	L-22	Scienze Motorie	NAPOLI	63	M	1423
10	2021	6307	Napoli Pegaso - telematica	LMG/01	GIURISPRUDENZA	NAPOLI	63	M	1325
11	2021	6307	Napoli Pegaso - telematica	L-18	Economia Aziendale	NAPOLI	63	F	1199
12	2020	6307	Napoli Pegaso - telematica	LMG/01	Giurisprudenza	NAPOLI	63	M	1140
13	2020	6307	Napoli Pegaso - telematica	LM-85	Scienze Pedagogiche	NAPOLI	63	F	1118
14	2021	6307	Napoli Pegaso - telematica	LM-56	Scienze Economiche	NAPOLI	63	M	1108
15	2019	5815	Roma UNICUSANO - telematica	L-36	Scienze Politiche e Relazioni Internazionali	ROMA	58	M	1090
16	2020	6307	Napoli Pegaso - telematica	L-18	Economia Aziendale	NAPOLI	63	F	1082
17	2021	6307	Napoli Pegaso - telematica	LM-47	Management dello Sport e delle Attività Motorie	NAPOLI	63	M	1034
18	2020	6307	Napoli Pegaso - telematica	L-07	Ingegneria Civile	NAPOLI	63	M	1028
19	2018	6307	Napoli Pegaso - telematica	L-18	Economia Aziendale	NAPOLI	63	M	1020
20	2020	5815	Roma UNICUSANO - telematica	L-36	Scienze Politiche e Relazioni Internazionali	ROMA	58	M	988
21	2019	6307	Napoli Pegaso - telematica	L-19	Scienze dell'Educazione e della Formazione	NAPOLI	63	F	876
22	2018	5815	Roma UNICUSANO - telematica	L-36	Scienze Politiche e Relazioni Internazionali	ROMA	58	M	868
23	2020	6307	Napoli Pegaso - telematica	LM-56	Scienze Economiche	NAPOLI	63	M	865
24	2019	6307	Napoli Pegaso - telematica	L-22	Scienze Motorie	NAPOLI	63	M	854
25	2019	6307	Napoli Pegaso - telematica	LMG/01	Giurisprudenza	NAPOLI	63	M	846
26	2021	6307	Napoli Pegaso - telematica	L-22	Scienze Motorie	NAPOLI	63	F	824
27	2021	6307	Napoli Pegaso - telematica	LM-56	Scienze Economiche	NAPOLI	63	F	773
28	2018	6307	Napoli Pegaso - telematica	LMG/01	Giurisprudenza	NAPOLI	63	M	767
29	2021	6307	Napoli Pegaso - telematica	L-07	Ingegneria Civile	NAPOLI	63	M	759
30	2021	6307	Napoli Pegaso - telematica	LMG/01	Giurisprudenza	NAPOLI	63	F	748
31	2018	6301	Napoli Federico II	LMG/01	Corso di Laurea Magistrale in Giurisprudenza	NAPOLI	63	F	737
32	2019	6307	Napoli Pegaso - telematica	LM-85	Scienze Pedagogiche	NAPOLI	63	F	706
33	2020	6307	Napoli Pegaso - telematica	LMG/01	Giurisprudenza	NAPOLI	63	F	706
34	2019	6307	Napoli Pegaso - telematica	L-18	Economia Aziendale	NAPOLI	63	F	694
35	2018	6307	Napoli Pegaso - telematica	L-19	Scienze dell'Educazione e della Formazione	NAPOLI	63	F	683
36	2021	1601	Bergamo	L-19	Scienze dell'Educazione	BERGAMO	16	F	652
37	2019	6301	Napoli Federico II	LMG/01	Corso di Laurea Magistrale in Giurisprudenza	NAPOLI	63	F	649
38	2021	5815	Roma UNICUSANO - telematica	LM-51	Psicologia	ROMA	58	F	645
39	2020	6301	Napoli Federico II	LMG/01	Corso di Laurea Magistrale in Giurisprudenza	NAPOLI	63	F	616
40	2021	1503	Milano Bocconi	L-18	Economia Aziendale e Management	MILANO	15	M	607
41	2020	6307	Napoli Pegaso - telematica	LM-56	Scienze Economiche	NAPOLI	63	F	604
42	2021	1301	Novedrate e-Campus - telematica	L-22	Scienze delle Attivita' Motorie e Sportive	NOVEDRATE	13	M	593
43	2020	1503	Milano Bocconi	L-18	Economia Aziendale e Management	MILANO	15	M	590
44	2020	6307	Napoli Pegaso - telematica	LM-47	Management dello Sport e delle Attività Motorie	NAPOLI	63	M	589
45	2019	5801	Roma La Sapienza	L/SNT1	Infermieristica (Abilitante alla Professione Sanitaria di Infermiere)	ROMA	58	F	586
